"","GrLivArea","Neighborhood","LotArea","X1stFlrSF","OverallQual","y_true","y_rf","y_svm_linear","y_svm_radial","y_lda","y_logistic","y_boosting"
"1",2198,"NoRidge",14260,1145,8,1,1,1,0,1,1,1
"2",2090,"NWAmes",10382,1107,7,1,0,0,0,0,0,0
"3",1774,"OldTown",6120,1022,7,0,0,0,0,0,0,0
"4",2324,"NridgHt",11924,1182,9,1,1,1,0,1,1,1
"5",854,"BrkSide",6120,854,7,0,0,0,0,0,0,0
"6",1004,"NAmes",11241,1004,6,0,0,0,0,0,0,0
"7",2376,"NridgHt",14215,1158,8,1,1,1,0,1,1,1
"8",1704,"NridgHt",11478,1704,8,1,0,0,0,0,0,1
"9",1317,"IDOTRR",8500,649,4,0,0,0,0,0,0,0
"10",1057,"NAmes",7922,1057,5,0,0,0,0,0,0,0
"11",955,"Sawyer",7742,955,5,0,0,0,0,0,0,0
"12",1425,"NAmes",10175,1425,6,0,0,0,0,0,0,0
"13",1710,"OldTown",10300,902,7,0,0,0,0,0,0,0
"14",2473,"NridgHt",9591,1143,8,1,1,1,0,1,1,1
"15",988,"MeadowV",1596,526,4,0,0,0,0,0,0,0
"16",1230,"OldTown",10440,682,5,0,0,0,0,0,0,0
"17",1560,"Gilbert",11911,684,6,0,0,0,0,0,0,0
"18",835,"Edwards",10625,835,5,0,0,0,0,0,0,0
"19",789,"OldTown",6000,789,5,0,0,0,0,0,0,0
"20",2320,"Crawfor",7259,1436,6,1,1,0,0,1,1,1
"21",754,"IDOTRR",6780,520,6,0,0,0,0,0,0,0
"22",1721,"Sawyer",10335,1721,5,0,0,0,0,0,0,0
"23",1709,"Edwards",2522,970,6,0,0,0,0,0,0,0
"24",1080,"SawyerW",7500,1080,7,0,0,0,0,0,0,0
"25",1200,"OldTown",11340,1200,6,0,0,0,0,0,0,0
"26",1968,"Timber",12003,774,8,1,1,1,0,1,1,1
"27",2462,"Gilbert",19378,1392,7,1,1,1,0,1,1,1
"28",2668,"NridgHt",13688,1572,9,1,1,1,0,1,1,1
"29",882,"OldTown",5500,882,4,0,0,0,0,0,0,0
"30",1616,"OldTown",5400,1149,6,0,0,0,0,0,0,0
"31",1707,"Timber",16669,1707,8,1,0,0,0,0,0,1
"32",1656,"NAmes",31770,1656,6,1,1,1,0,0,0,1
"33",2158,"Edwards",12615,2158,6,1,0,1,0,0,0,0
"34",968,"OldTown",8520,968,5,0,0,0,0,0,0,0
"35",1525,"Somerst",2117,769,6,0,0,0,0,0,0,0
"36",2082,"OldTown",11426,1362,7,1,0,0,0,0,0,0
"37",2727,"Crawfor",10570,1549,8,1,1,1,0,1,1,1
"38",1479,"NAmes",7472,725,7,0,0,0,0,0,0,0
"39",1696,"Sawyer",13673,1696,5,0,0,0,0,0,0,0
"40",1392,"CollgCr",10900,689,6,0,0,0,0,0,0,0
"41",1436,"CollgCr",8450,1436,7,1,0,0,0,0,0,0
"42",2392,"NridgHt",13472,2392,10,1,1,1,0,1,1,1
"43",1302,"BrDale",1680,630,5,0,0,0,0,0,0,0
"44",1555,"Blmngtn",3182,1555,7,0,0,0,0,0,0,0
"45",1694,"NridgHt",12030,1694,8,1,1,0,0,0,0,1
"46",1928,"OldTown",9142,908,6,0,0,0,0,0,0,0
"47",1306,"BrkSide",5350,1306,3,0,0,0,0,0,0,0
"48",1302,"NAmes",9350,1302,6,0,0,0,0,0,0,0
"49",882,"OldTown",12702,882,5,0,0,0,0,0,0,0
"50",1382,"NAmes",19296,1382,6,0,0,0,0,0,0,0
"51",1212,"Sawyer",8471,1212,6,0,0,0,0,0,0,0
"52",1113,"Edwards",7917,1113,6,0,0,0,0,0,0,0
"53",1982,"SawyerW",11287,1175,7,1,0,0,0,0,0,0
"54",1250,"Somerst",4251,625,7,0,0,0,0,0,0,0
"55",1734,"NAmes",9786,1085,6,0,0,0,0,0,0,0
"56",900,"Sawyer",9819,900,5,0,0,0,0,0,0,0
"57",2452,"CollgCr",16226,1210,8,1,1,1,0,1,1,1
"58",894,"CollgCr",9800,894,5,0,0,0,0,0,0,0
"59",3493,"OldTown",18386,1675,7,1,1,1,0,1,1,1
"60",2646,"NoRidge",9900,1372,7,1,1,1,0,1,1,0
"61",2596,"NridgHt",16259,1249,9,1,1,1,0,1,1,1
"62",2468,"NridgHt",12099,1136,8,1,1,1,0,1,1,1
"63",803,"IDOTRR",5000,803,5,0,0,0,0,0,0,0
"64",1629,"NridgHt",10655,1629,8,1,1,0,0,0,0,1
"65",1040,"NAmes",8544,1040,3,0,0,0,0,0,0,0
"66",1684,"NridgHt",8849,1684,9,1,0,0,0,0,0,0
"67",1112,"MeadowV",2592,536,5,0,0,0,0,0,0,0
"68",1577,"BrkSide",6435,972,6,0,0,0,0,0,0,0
"69",958,"NAmes",12772,958,6,0,0,0,0,0,0,0
"70",1478,"NAmes",17600,1478,6,0,0,0,0,0,0,0
"71",1394,"NAmes",9500,1394,6,0,0,0,0,0,0,0
